"facility","facility_uid","subcounty","subcounty_uid","municipality","municipality_uid","district","district_uid","region","region_uid"
"Rubaya Subcounty Field Survey Station 003","MDbjlGxazdQ","Rubaya Subcounty","iYyORXQ8Z6h","Mbarara DLG","KJBHOnBfzTz","Mbarara District","auswb7JO9wY","Ankole","F1o6qBSx783"
"Rubirizi Town Council Field Survey Station 009","XSDZ6uBORCy","Rubirizi Town Council","L91J9E1sJbc","Rubirizi DLG","vm2OmhoYhQ6","Rubirizi District","fS71jg1WYPk","Ankole","F1o6qBSx783"
"Rubindi-Ruhumba Town Council Field Survey Station 005","Xo9fgk0Rvg6","Rubindi-Ruhumba Town Council","xNKA2Q86Vw8","Mbarara DLG","KJBHOnBfzTz","Mbarara District","auswb7JO9wY","Ankole","F1o6qBSx783"
"Katerera Town Council Field Survey Station 005","MtxLlVBEoZc","Katerera Town Council","OArnksuH9WD","Rubirizi DLG","vm2OmhoYhQ6","Rubirizi District","fS71jg1WYPk","Ankole","F1o6qBSx783"
"Kanyarugiri Town Council Field Survey Station 002","qMmFjhurSrF","Kanyarugiri Town Council","lx44Mbxfb94","Ibanda DLG","uezSGSB5rOP","Ibanda District","r8WLxW9JwsS","Ankole","F1o6qBSx783"
"Rubindi-Ruhumba Town Council Field Survey Station 006","nRnQig5xiKQ","Rubindi-Ruhumba Town Council","xNKA2Q86Vw8","Mbarara DLG","KJBHOnBfzTz","Mbarara District","auswb7JO9wY","Ankole","F1o6qBSx783"
"Ibaare Subcounty Field Survey Station 003","aIul7gx7RmZ","Ibaare Subcounty","aYWNoEFeoUw","Bushenyi DLG","KT6NmmrjYn8","Bushenyi District","It5UGwdHAPF","Ankole","F1o6qBSx783"
"Kagarama Town Council Field Survey Station 002","ND2A0GOnnnY","Kagarama Town Council","YQkoHUcrtEM","Ntungamo DLG","yGCDaEiRCTT","Ntungamo District","hAoe9dhZh9V","Ankole","F1o6qBSx783"
"Kabuyanda Town Council Field Survey Station 003","KDPH9XYjHly","Kabuyanda Town Council","wLL0PdmBLep","Isingiro DLG","MA7wxJY7qnn","Isingiro District","UaR7OHycj8c","Ankole","F1o6qBSx783"
"Kagongo Division Field Survey Station 012","mC4jHquc0cu","Kagongo Division","vuUCvVvETWp","Ibanda Municipality","XhflI2huclR","Ibanda District","r8WLxW9JwsS","Ankole","F1o6qBSx783"
"Bufunda Division Field Survey Station 012","BI8hASfVUkv","Bufunda Division","a1eKujmyNC4","Ibanda Municipality","XhflI2huclR","Ibanda District","r8WLxW9JwsS","Ankole","F1o6qBSx783"
"Rukoni West Subcounty Field Survey Station 002","qfLP072gVcy","Rukoni West Subcounty","aBKUgg9eMEK","Ntungamo DLG","yGCDaEiRCTT","Ntungamo District","hAoe9dhZh9V","Ankole","F1o6qBSx783"
"Bubaare Subcounty Field Survey Station 003","hUjYHzn0Rl0","Bubaare Subcounty","zzuqkx8GWNy","Mbarara DLG","KJBHOnBfzTz","Mbarara District","auswb7JO9wY","Ankole","F1o6qBSx783"
"Kabuyanda Subcounty Field Survey Station 004","wj1NpX1IYq8","Kabuyanda Subcounty","LQLSqsdH1d5","Isingiro DLG","MA7wxJY7qnn","Isingiro District","UaR7OHycj8c","Ankole","F1o6qBSx783"
"Kinoni Subcounty Field Survey Station 003","la7RfifKZME","Kinoni Subcounty","O3kEMiNyC7J","Kiruhura DLG","EyuDJSGcd4B","Kiruhura District","qf9xWZu7Dq8","Ankole","F1o6qBSx783"
"Central Division Field Survey Station 005","YasMLjFTmRD","Central Division","xR3tMZhXRSG","Ntungamo Municipality","SIIJ3aaxlMz","Ntungamo District","hAoe9dhZh9V","Ankole","F1o6qBSx783"
"Kikagate Subcounty Field Survey Station 004","OSfoWEwPx5d","Kikagate Subcounty","KQCblChIrTo","Isingiro DLG","MA7wxJY7qnn","Isingiro District","UaR7OHycj8c","Ankole","F1o6qBSx783"
"Kyamuhunga Town Council Field Survey Station 005","KQt6eh1UGuS","Kyamuhunga Town Council","XKmky62jOBX","Bushenyi DLG","KT6NmmrjYn8","Bushenyi District","It5UGwdHAPF","Ankole","F1o6qBSx783"
"Mbarara South Division Field Survey Station 026","k4AuRrsUWCi","Mbarara South Division","to2QFL5yuAi","Mbarara City Council","CbpAHqZrauR","Mbarara City","W7kX446X8Jn","Ankole","F1o6qBSx783"
"Rutookye Town Council Field Survey Station 004","Mha9ftXo7u5","Rutookye Town Council","zf57oXdRAdf","Mitooma DLG","agp7ptYqvxM","Mitooma District","FLygHiUd2UW","Ankole","F1o6qBSx783"
"Karungu Subcounty Field Survey Station 002","E4Vcl5DBfpq","Karungu Subcounty","oMZSkQE6CzW","Buhweju DLG","hswZbg9qBvu","Buhweju District","sWoNWQZ9qrD","Ankole","F1o6qBSx783"
"Katenga Subcounty Field Survey Station 003","CtNp9QdYPvu","Katenga Subcounty","qJ0sxVsO2pk","Mitooma DLG","agp7ptYqvxM","Mitooma District","FLygHiUd2UW","Ankole","F1o6qBSx783"
"Mbarara South Division Field Survey Station 027","a6CCCxArlVG","Mbarara South Division","to2QFL5yuAi","Mbarara City Council","CbpAHqZrauR","Mbarara City","W7kX446X8Jn","Ankole","F1o6qBSx783"
"Ntungamo Subcounty Field Survey Station 003","U01vJnjDz0V","Ntungamo Subcounty","K8EbLIWv4gn","Ntungamo DLG","yGCDaEiRCTT","Ntungamo District","hAoe9dhZh9V","Ankole","F1o6qBSx783"
"Kabwohe Division Field Survey Station 006","hVEpiqJOlWm","Kabwohe Division","eNfm0rdOENJ","Sheema Municipality","jzHf1C8I7d0","Sheema District","xAJgEKKAeRA","Ankole","F1o6qBSx783"
"Central Division Field Survey Station 006","rZUQEvxthk4","Central Division","xR3tMZhXRSG","Ntungamo Municipality","SIIJ3aaxlMz","Ntungamo District","hAoe9dhZh9V","Ankole","F1o6qBSx783"
"Mbarara North Division Field Survey Station 019","fxHApp8UtpE","Mbarara North Division","sDCohibAWiS","Mbarara City Council","CbpAHqZrauR","Mbarara City","W7kX446X8Jn","Ankole","F1o6qBSx783"
"Kagongo Division Field Survey Station 013","ghBbGPGo67O","Kagongo Division","vuUCvVvETWp","Ibanda Municipality","XhflI2huclR","Ibanda District","r8WLxW9JwsS","Ankole","F1o6qBSx783"
"Kagongi Subcounty Field Survey Station 003","g63Rmtc2Wu8","Kagongi Subcounty","IzhBEvsBLuC","Mbarara DLG","KJBHOnBfzTz","Mbarara District","auswb7JO9wY","Ankole","F1o6qBSx783"
"Ngarama Subcounty Field Survey Station 006","HR3Qi3XQ3mr","Ngarama Subcounty","eeBbHGQ0Z2K","Isingiro DLG","MA7wxJY7qnn","Isingiro District","UaR7OHycj8c","Ankole","F1o6qBSx783"
"Industrial Division Field Survey Station 001","v9p3jFvYYtP","Industrial Division","q0BqaYeLsKz","Mbale City Council","lOfGDoZ5u9Y","Mbale City","ALFFOStwtqW","Bugisu","Dt6qdenPX1E"
"Northern Division Field Survey Station 001","potmv2l4HbN","Northern Division","OltIU5j6TaY","Mbale City Council","lOfGDoZ5u9Y","Mbale City","ALFFOStwtqW","Bugisu","Dt6qdenPX1E"
"Amanang Subcounty Field Survey Station 001","p0zA3LCR2z4","Amanang Subcounty","mVZTGbZNOR8","Bukwo DLG","aC0PDtoAreV","Bukwo District","e8m9ZYMRoeR","Bugisu","Dt6qdenPX1E"
"Amukol Subcounty Field Survey Station 001","pyeMjBNdNrR","Amukol Subcounty","D06Hv2GofVa","Kapchorwa DLG","rUZxtDdt03y","Kapchorwa District","aginheWSLef","Bugisu","Dt6qdenPX1E"
"Lwongon Subcounty Field Survey Station 001","bio2daBw6XN","Lwongon Subcounty","s8nACUgQgH0","Bukwo DLG","aC0PDtoAreV","Bukwo District","e8m9ZYMRoeR","Bugisu","Dt6qdenPX1E"
"Central Division Field Survey Station 001","dRx8az95Iwy","Central Division","R1oUuQ6Zoys","Kapchorwa Municipality","o0qiA3QdyE8","Kapchorwa District","aginheWSLef","Bugisu","Dt6qdenPX1E"
"Kaptoyoy Subcounty Field Survey Station 001","a3olK5bCOw7","Kaptoyoy Subcounty","OtcX4cHu6sF","Kween DLG","I3kNhWwjzYP","Kween District","h1O9AvNR4jS","Bugisu","Dt6qdenPX1E"
"Bumufuni Subcounty Field Survey Station 001","z8ztvhCaf1r","Bumufuni Subcounty","I1y1aZPzfTz","Bulambuli DLG","ciLvqUBwyTk","Bulambuli District","auLatLbcOxf","Bugisu","Dt6qdenPX1E"
"Bulucheke Subcounty Field Survey Station 001","asYho1oZJbG","Bulucheke Subcounty","GNk286NN5pG","Bududa DLG","rNv2tm46tR1","Bududa District","AhwgeZQYj16","Bugisu","Dt6qdenPX1E"
"Bupoto Subcounty Field Survey Station 001","lDVrvHJzAg5","Bupoto Subcounty","gAQjtVVeV0w","Namisindwa DLG","w6cP0Pysbek","Namisindwa District","TGzZPOmbgn8","Bugisu","Dt6qdenPX1E"
"Kwosir Subcounty Field Survey Station 001","rLYXWl0FJq4","Kwosir Subcounty","hY5HcMQt93G","Kween DLG","I3kNhWwjzYP","Kween District","h1O9AvNR4jS","Bugisu","Dt6qdenPX1E"
"Binyiny Town Council Field Survey Station 001","aVlOVOmBP2K","Binyiny Town Council","XD1KW6zzsZW","Kween DLG","I3kNhWwjzYP","Kween District","h1O9AvNR4jS","Bugisu","Dt6qdenPX1E"
"Brim Subcounty Field Survey Station 001","enZvQfJk9cO","Brim Subcounty","ItSDwZocUkP","Bukwo DLG","aC0PDtoAreV","Bukwo District","e8m9ZYMRoeR","Bugisu","Dt6qdenPX1E"
"Buwalasi Subcounty Field Survey Station 001","Zz6XgnxXRri","Buwalasi Subcounty","acI7OX1zZEL","Sironko DLG","VDARuLj3PM6","Sironko District","wJ2a6YKDFZW","Bugisu","Dt6qdenPX1E"
"Masaba Subcounty Field Survey Station 001","titT0EtXIe0","Masaba Subcounty","S4m2TKOXxUp","Sironko DLG","VDARuLj3PM6","Sironko District","wJ2a6YKDFZW","Bugisu","Dt6qdenPX1E"
"Manafwa Town Council Field Survey Station 001","oIYkOMu6tdP","Manafwa Town Council","FyMzOK1gbNx","Manafwa DLG","Rn3vk0diROX","Manafwa District","JIZDvNlIhXS","Bugisu","Dt6qdenPX1E"
"Manafwa Town Council Field Survey Station 002","V9XTvkr5Vr2","Manafwa Town Council","FyMzOK1gbNx","Manafwa DLG","Rn3vk0diROX","Manafwa District","JIZDvNlIhXS","Bugisu","Dt6qdenPX1E"
"Manafwa Town Council Field Survey Station 003","Z4327slMc14","Manafwa Town Council","FyMzOK1gbNx","Manafwa DLG","Rn3vk0diROX","Manafwa District","JIZDvNlIhXS","Bugisu","Dt6qdenPX1E"
"Bushika Subcounty Field Survey Station 001","t2Y0yh8qFhU","Bushika Subcounty","M2Evh1Y9m1w","Bududa DLG","rNv2tm46tR1","Bududa District","AhwgeZQYj16","Bugisu","Dt6qdenPX1E"
"Bubutu Subcounty Field Survey Station 001","aCZRqIkW8s5","Bubutu Subcounty","KA3m8Skxyrd","Namisindwa DLG","w6cP0Pysbek","Namisindwa District","TGzZPOmbgn8","Bugisu","Dt6qdenPX1E"
"Budadiri Town Council Field Survey Station 001","pTrRXtAg5IR","Budadiri Town Council","HLymn5haKX6","Sironko DLG","VDARuLj3PM6","Sironko District","wJ2a6YKDFZW","Bugisu","Dt6qdenPX1E"
"Budadiri Town Council Field Survey Station 002","GP5jEcoIS6B","Budadiri Town Council","HLymn5haKX6","Sironko DLG","VDARuLj3PM6","Sironko District","wJ2a6YKDFZW","Bugisu","Dt6qdenPX1E"
"Bududa Town Council Field Survey Station 001","xVmiaKB3dHI","Bududa Town Council","LAhpdWaQw44","Bududa DLG","rNv2tm46tR1","Bududa District","AhwgeZQYj16","Bugisu","Dt6qdenPX1E"
"Bududa Subcounty Field Survey Station 001","sQIWPrdhyp5","Bududa Subcounty","QOZgGnGOiBF","Bududa DLG","rNv2tm46tR1","Bududa District","AhwgeZQYj16","Bugisu","Dt6qdenPX1E"
"Bududa Town Council Field Survey Station 002","VCnDVtwbiSQ","Bududa Town Council","LAhpdWaQw44","Bududa DLG","rNv2tm46tR1","Bududa District","AhwgeZQYj16","Bugisu","Dt6qdenPX1E"
"Budwale Subcounty Field Survey Station 001","tZX3IqSxAr1","Budwale Subcounty","pRs8qxqjCaa","Mbale DLG","gcSUP2nT0d5","Mbale District","yuo5ielNL7W","Bugisu","Dt6qdenPX1E"
"Bumayoka Subcounty Field Survey Station 001","av5hBEV9k6X","Bumayoka Subcounty","XY8Siwchc7A","Bududa DLG","rNv2tm46tR1","Bududa District","AhwgeZQYj16","Bugisu","Dt6qdenPX1E"
"Northern Division Field Survey Station 002","zH1tLSpZuGt","Northern Division","OltIU5j6TaY","Mbale City Council","lOfGDoZ5u9Y","Mbale City","ALFFOStwtqW","Bugisu","Dt6qdenPX1E"
"Bungokho Subcounty Field Survey Station 001","ZrxsUH2PMkW","Bungokho Subcounty","D6VouTb2XCU","Mbale DLG","gcSUP2nT0d5","Mbale District","yuo5ielNL7W","Bugisu","Dt6qdenPX1E"
"Buginyanya Subcounty Field Survey Station 001","wNIGyP5Wi4G","Buginyanya Subcounty","D6Mz2uFmKrb","Bulambuli DLG","ciLvqUBwyTk","Bulambuli District","auLatLbcOxf","Bugisu","Dt6qdenPX1E"
"Bugitimwa Subcounty Field Survey Station 001","h9EhsXtR7wl","Bugitimwa Subcounty","HNcjoI8Hikq","Sironko DLG","VDARuLj3PM6","Sironko District","wJ2a6YKDFZW","Bugisu","Dt6qdenPX1E"
"Bugitimwa Subcounty Field Survey Station 002","aVF1hN6kKkE","Bugitimwa Subcounty","HNcjoI8Hikq","Sironko DLG","VDARuLj3PM6","Sironko District","wJ2a6YKDFZW","Bugisu","Dt6qdenPX1E"
"Bugobero Subcounty Field Survey Station 001","RTB3ZNoIDhd","Bugobero Subcounty","yjo1AMiB3pU","Manafwa DLG","Rn3vk0diROX","Manafwa District","JIZDvNlIhXS","Bugisu","Dt6qdenPX1E"
"Sotti Subcounty Field Survey Station 001","NIc5pKnVYeR","Sotti Subcounty","Inf5N7Yf0Ye","Bulambuli DLG","ciLvqUBwyTk","Bulambuli District","auLatLbcOxf","Bugisu","Dt6qdenPX1E"
"Buwalasi Subcounty Field Survey Station 002","Q4w36syuJ46","Buwalasi Subcounty","acI7OX1zZEL","Sironko DLG","VDARuLj3PM6","Sironko District","wJ2a6YKDFZW","Bugisu","Dt6qdenPX1E"
"Bumalimba Subcounty Field Survey Station 001","UX5j31I7jpP","Bumalimba Subcounty","DGBFUfYWCBl","Sironko DLG","VDARuLj3PM6","Sironko District","wJ2a6YKDFZW","Bugisu","Dt6qdenPX1E"
"Bukalasi Subcounty Field Survey Station 001","Lyd040RjHYd","Bukalasi Subcounty","CjVML3u4v4O","Bududa DLG","rNv2tm46tR1","Bududa District","AhwgeZQYj16","Bugisu","Dt6qdenPX1E"
"Industrial Division Field Survey Station 002","JB7CMDmPtIZ","Industrial Division","q0BqaYeLsKz","Mbale City Council","lOfGDoZ5u9Y","Mbale City","ALFFOStwtqW","Bugisu","Dt6qdenPX1E"
"Buwagogo Subcounty Field Survey Station 001","wcTUcjmdOA3","Buwagogo Subcounty","tSaD45BABGh","Manafwa DLG","Rn3vk0diROX","Manafwa District","JIZDvNlIhXS","Bugisu","Dt6qdenPX1E"
"Bukhabusi Subcounty Field Survey Station 001","JiMsrQGUs6H","Bukhabusi Subcounty","Nwdvs8JuEbv","Namisindwa DLG","w6cP0Pysbek","Namisindwa District","TGzZPOmbgn8","Bugisu","Dt6qdenPX1E"
"Bukhalu Subcounty Field Survey Station 001","DeLCxOv0IDy","Bukhalu Subcounty","QxHGHhger7q","Bulambuli DLG","ciLvqUBwyTk","Bulambuli District","auLatLbcOxf","Bugisu","Dt6qdenPX1E"
"Bukhaweka Subcounty Field Survey Station 001","nDKkvS97jKc","Bukhaweka Subcounty","iJ1Ey2CkCQ1","Namisindwa DLG","w6cP0Pysbek","Namisindwa District","TGzZPOmbgn8","Bugisu","Dt6qdenPX1E"
"Bukiabi Subcounty Field Survey Station 001","qWJpv66plkJ","Bukiabi Subcounty","GAIRS7tSHxQ","Namisindwa DLG","w6cP0Pysbek","Namisindwa District","TGzZPOmbgn8","Bugisu","Dt6qdenPX1E"
"Bukibokolo Subcounty Field Survey Station 001","H713vHjaFbd","Bukibokolo Subcounty","HWHRutHDzXu","Bududa DLG","rNv2tm46tR1","Bududa District","AhwgeZQYj16","Bugisu","Dt6qdenPX1E"
"Simu Subcounty Field Survey Station 001","qJnALNH3a89","Simu Subcounty","audl05CJPvD","Bulambuli DLG","ciLvqUBwyTk","Bulambuli District","auLatLbcOxf","Bugisu","Dt6qdenPX1E"
"Bukiende Subcounty Field Survey Station 001","FkHfVW0W0FE","Bukiende Subcounty","qiewZJ2PhvP","Mbale DLG","gcSUP2nT0d5","Mbale District","yuo5ielNL7W","Bugisu","Dt6qdenPX1E"
"Bukigai Subcounty Field Survey Station 001","q52SkXKDblS","Bukigai Subcounty","PhRuQO8U4RI","Bududa DLG","rNv2tm46tR1","Bududa District","AhwgeZQYj16","Bugisu","Dt6qdenPX1E"
"Bushigayi Town Council Field Survey Station 001","wpWyShStzVb","Bushigayi Town Council","yALgJtAPjRk","Bududa DLG","rNv2tm46tR1","Bududa District","AhwgeZQYj16","Bugisu","Dt6qdenPX1E"
"Kaato Subcounty Field Survey Station 001","FROrc88gFyZ","Kaato Subcounty","FJMPE6W5Eh5","Manafwa DLG","Rn3vk0diROX","Manafwa District","JIZDvNlIhXS","Bugisu","Dt6qdenPX1E"
"Bukwo Town Council Field Survey Station 001","as59xHu47PE","Bukwo Town Council","Pud49eGxz7F","Bukwo DLG","aC0PDtoAreV","Bukwo District","e8m9ZYMRoeR","Bugisu","Dt6qdenPX1E"
"Bukwo Town Council Field Survey Station 002","rk6HnWXzl3e","Bukwo Town Council","Pud49eGxz7F","Bukwo DLG","aC0PDtoAreV","Bukwo District","e8m9ZYMRoeR","Bugisu","Dt6qdenPX1E"
"Bukwo Town Council Field Survey Station 003","xwJzotSwW81","Bukwo Town Council","Pud49eGxz7F","Bukwo DLG","aC0PDtoAreV","Bukwo District","e8m9ZYMRoeR","Bugisu","Dt6qdenPX1E"
"Bukwo Subcounty Field Survey Station 001","xP7LsYRr2gH","Bukwo Subcounty","aeovDDRuWXz","Bukwo DLG","aC0PDtoAreV","Bukwo District","e8m9ZYMRoeR","Bugisu","Dt6qdenPX1E"
"Bulaago Subcounty Field Survey Station 001","D90178rMBih","Bulaago Subcounty","Bh0U2ITJVc7","Bulambuli DLG","ciLvqUBwyTk","Bulambuli District","auLatLbcOxf","Bugisu","Dt6qdenPX1E"
"Bulegeni Town Council Field Survey Station 001","Mj7uz7WM7PB","Bulegeni Town Council","ZMvUDFx9XnN","Bulambuli DLG","ciLvqUBwyTk","Bulambuli District","auLatLbcOxf","Bugisu","Dt6qdenPX1E"
"Bulucheke Subcounty Field Survey Station 002","kTnTCeBN2we","Bulucheke Subcounty","GNk286NN5pG","Bududa DLG","rNv2tm46tR1","Bududa District","AhwgeZQYj16","Bugisu","Dt6qdenPX1E"
"Buluganya Subcounty Field Survey Station 001","VboJZXGJBI9","Buluganya Subcounty","Wr3gyeZ6KUr","Bulambuli DLG","ciLvqUBwyTk","Bulambuli District","auLatLbcOxf","Bugisu","Dt6qdenPX1E"
"Zesui Subcounty Field Survey Station 001","D4NIfKfOjKu","Zesui Subcounty","kOu6Jeco0Gs","Sironko DLG","VDARuLj3PM6","Sironko District","wJ2a6YKDFZW","Bugisu","Dt6qdenPX1E"
"Bumasifwa Subcounty Field Survey Station 001","a9fe7RYnAFV","Bumasifwa Subcounty","EzcaOWLXAqW","Sironko DLG","VDARuLj3PM6","Sironko District","wJ2a6YKDFZW","Bugisu","Dt6qdenPX1E"
"Bubyangu Subcounty Field Survey Station 001","OlaVEDuSn6W","Bubyangu Subcounty","hO6qi1vSbQa","Mbale DLG","gcSUP2nT0d5","Mbale District","yuo5ielNL7W","Bugisu","Dt6qdenPX1E"
"Buwanyanga Subcounty Field Survey Station 001","LLs45lStr4N","Buwanyanga Subcounty","Aw39uUSyojZ","Bulambuli DLG","ciLvqUBwyTk","Bulambuli District","auLatLbcOxf","Bugisu","Dt6qdenPX1E"
"Bumasikye Subcounty Field Survey Station 001","R90HHFvhh7u","Bumasikye Subcounty","DyPcdfPhNdS","Mbale DLG","gcSUP2nT0d5","Mbale District","yuo5ielNL7W","Bugisu","Dt6qdenPX1E"
"Bumasobo Subcounty Field Survey Station 001","G2x4IQfoW0p","Bumasobo Subcounty","aKZcxeiqnDC","Bulambuli DLG","ciLvqUBwyTk","Bulambuli District","auLatLbcOxf","Bugisu","Dt6qdenPX1E"
"Bumbo Town Council Field Survey Station 001","uiIUQsgVTAj","Bumbo Town Council","aEOan17QsoW","Namisindwa DLG","w6cP0Pysbek","Namisindwa District","TGzZPOmbgn8","Bugisu","Dt6qdenPX1E"
"Bumugibole Subcounty Field Survey Station 001","HtV4tzUs2AS","Bumugibole Subcounty","hUz7cK7sja3","Bulambuli DLG","ciLvqUBwyTk","Bulambuli District","auLatLbcOxf","Bugisu","Dt6qdenPX1E"
"Sisiyi Subcounty Field Survey Station 001","CwPZMYQPea5","Sisiyi Subcounty","U3F1jMS8CYd","Bulambuli DLG","ciLvqUBwyTk","Bulambuli District","auLatLbcOxf","Bugisu","Dt6qdenPX1E"
"Bumulisha Subcounty Field Survey Station 001","jauAUu9YBbl","Bumulisha Subcounty","hOzQdIA8A67","Sironko DLG","VDARuLj3PM6","Sironko District","wJ2a6YKDFZW","Bugisu","Dt6qdenPX1E"
"Zesui Subcounty Field Survey Station 002","ag6oANQZEh6","Zesui Subcounty","kOu6Jeco0Gs","Sironko DLG","VDARuLj3PM6","Sironko District","wJ2a6YKDFZW","Bugisu","Dt6qdenPX1E"
"Bukyabo Subcounty Field Survey Station 001","ZtM8VtwGgAp","Bukyabo Subcounty","yyiNJYq4R1G","Sironko DLG","VDARuLj3PM6","Sironko District","wJ2a6YKDFZW","Bugisu","Dt6qdenPX1E"
"Nalwanza Subcounty Field Survey Station 001","a5ZtR0WmDZT","Nalwanza Subcounty","O75JEwLpIwW","Bududa DLG","rNv2tm46tR1","Bududa District","AhwgeZQYj16","Bugisu","Dt6qdenPX1E"
"Lusha Subcounty Field Survey Station 001","GT8CbxGtA7o","Lusha Subcounty","lcOZwwI0DzD","Bulambuli DLG","ciLvqUBwyTk","Bulambuli District","auLatLbcOxf","Bugisu","Dt6qdenPX1E"
"Bumwoni Subcounty Field Survey Station 001","CIVkMjSRVBX","Bumwoni Subcounty","nBKJ3cpl4T0","Namisindwa DLG","w6cP0Pysbek","Namisindwa District","TGzZPOmbgn8","Bugisu","Dt6qdenPX1E"
"Legenya Subcounty Field Survey Station 001","a3qhORZNhaG","Legenya Subcounty","kNZwnww3bHN","Sironko DLG","VDARuLj3PM6","Sironko District","wJ2a6YKDFZW","Bugisu","Dt6qdenPX1E"
"Bumasobo Subcounty Field Survey Station 002","LoH25qrXkd9","Bumasobo Subcounty","aKZcxeiqnDC","Bulambuli DLG","ciLvqUBwyTk","Bulambuli District","auLatLbcOxf","Bugisu","Dt6qdenPX1E"
"Tsekululu Subcounty Field Survey Station 001","aW4S9Y3XhuV","Tsekululu Subcounty","aNvDakWiwMs","Namisindwa DLG","w6cP0Pysbek","Namisindwa District","TGzZPOmbgn8","Bugisu","Dt6qdenPX1E"
"Bunambutye Subcounty Field Survey Station 001","TwZ0KmmR1od","Bunambutye Subcounty","tXDsfp50KIl","Bulambuli DLG","ciLvqUBwyTk","Bulambuli District","auLatLbcOxf","Bugisu","Dt6qdenPX1E"
"Bunambutye Subcounty Field Survey Station 002","nsvqBMiJ8t7","Bunambutye Subcounty","tXDsfp50KIl","Bulambuli DLG","ciLvqUBwyTk","Bulambuli District","auLatLbcOxf","Bugisu","Dt6qdenPX1E"
"Bushiribo Subcounty Field Survey Station 001","QPU9ZqlYc17","Bushiribo Subcounty","HxUixzlcItQ","Bududa DLG","rNv2tm46tR1","Bududa District","AhwgeZQYj16","Bugisu","Dt6qdenPX1E"
"Nabbongo Subcounty Field Survey Station 001","VmXrZR2cOUI","Nabbongo Subcounty","zUlsz5QOq4e","Bulambuli DLG","ciLvqUBwyTk","Bulambuli District","auLatLbcOxf","Bugisu","Dt6qdenPX1E"
"Bungokho Subcounty Field Survey Station 002","Lm5ZpEDH78a","Bungokho Subcounty","D6VouTb2XCU","Mbale DLG","gcSUP2nT0d5","Mbale District","yuo5ielNL7W","Bugisu","Dt6qdenPX1E"
"Bumasifwa Subcounty Field Survey Station 002","A8E98vahuiC","Bumasifwa Subcounty","EzcaOWLXAqW","Sironko DLG","VDARuLj3PM6","Sironko District","wJ2a6YKDFZW","Bugisu","Dt6qdenPX1E"
"Bukhulo Subcounty Field Survey Station 001","BN00LSP4lo5","Bukhulo Subcounty","WQLYmAhQup5","Sironko DLG","VDARuLj3PM6","Sironko District","wJ2a6YKDFZW","Bugisu","Dt6qdenPX1E"
"Industrial Division Field Survey Station 003","qqNrWKGgl1e","Industrial Division","q0BqaYeLsKz","Mbale City Council","lOfGDoZ5u9Y","Mbale City","ALFFOStwtqW","Bugisu","Dt6qdenPX1E"
"Namisindwa Town Council Field Survey Station 001","KLUaz4vAm5G","Namisindwa Town Council","VKyrNDDj18F","Namisindwa DLG","w6cP0Pysbek","Namisindwa District","TGzZPOmbgn8","Bugisu","Dt6qdenPX1E"
"Namisindwa Town Council Field Survey Station 002","aJCkfyIurtg","Namisindwa Town Council","VKyrNDDj18F","Namisindwa DLG","w6cP0Pysbek","Namisindwa District","TGzZPOmbgn8","Bugisu","Dt6qdenPX1E"
"Buwalasi Subcounty Field Survey Station 003","KdRYPKINiix","Buwalasi Subcounty","acI7OX1zZEL","Sironko DLG","VDARuLj3PM6","Sironko District","wJ2a6YKDFZW","Bugisu","Dt6qdenPX1E"
"Industrial Division Field Survey Station 004","C9Kvzwphv8J","Industrial Division","q0BqaYeLsKz","Mbale City Council","lOfGDoZ5u9Y","Mbale City","ALFFOStwtqW","Bugisu","Dt6qdenPX1E"
"Busano Subcounty Field Survey Station 001","S3tP2Tw15nr","Busano Subcounty","a0zpHapVjFR","Mbale DLG","gcSUP2nT0d5","Mbale District","yuo5ielNL7W","Bugisu","Dt6qdenPX1E"
"Nakatsi Subcounty Field Survey Station 001","J3KJzX1JSXu","Nakatsi Subcounty","hzZatGLk0q7","Bududa DLG","rNv2tm46tR1","Bududa District","AhwgeZQYj16","Bugisu","Dt6qdenPX1E"
"Bungokho Subcounty Field Survey Station 003","b5gYOcDzgXn","Bungokho Subcounty","D6VouTb2XCU","Mbale DLG","gcSUP2nT0d5","Mbale District","yuo5ielNL7W","Bugisu","Dt6qdenPX1E"
"Bushiyi Subcounty Field Survey Station 001","iu8AuF8DVXT","Bushiyi Subcounty","zDJSedQmteO","Bududa DLG","rNv2tm46tR1","Bududa District","AhwgeZQYj16","Bugisu","Dt6qdenPX1E"
"Busiu Town Council Field Survey Station 001","zeEOtz7XwxV","Busiu Town Council","cGu9vl8jFvE","Mbale DLG","gcSUP2nT0d5","Mbale District","yuo5ielNL7W","Bugisu","Dt6qdenPX1E"
"Busoba Subcounty Field Survey Station 001","IQ78syaaXEg","Busoba Subcounty","sZkAxsA924V","Mbale DLG","gcSUP2nT0d5","Mbale District","yuo5ielNL7W","Bugisu","Dt6qdenPX1E"
"Elgon Subcounty Field Survey Station 001","PX7XHOUnYJY","Elgon Subcounty","Czj6vqaOd2J","Sironko DLG","VDARuLj3PM6","Sironko District","wJ2a6YKDFZW","Bugisu","Dt6qdenPX1E"
