"id","uid","name","shortname","longtitude","latitude","nhfrid","subcounty_uid","subcounty","district_uid","district","region","hflevel","ownership","authority","status","report"
"696","FbWj31XSGN6","Mbarara South Division Field Survey Station 024","SG-MBARA-024","","","9000000000696","to2QFL5yuAi","Mbarara South Division","W7kX446X8Jn","Mbarara City","Ankole","Community Enumeration Point","PFP","UCBHCA","Functional","Non-Reporting"
"697","wiVV2BPYi5Z","Mbarara South Division Field Survey Station 025","SG-MBARA-025","30.543782","-0.656176","9000000000697","to2QFL5yuAi","Mbarara South Division","W7kX446X8Jn","Mbarara City","Ankole","Community Enumeration Point","GOV","Local Government","Functional","Reporting"
"698","k4AuRrsUWCi","Mbarara South Division Field Survey Station 026","SG-MBARA-026","30.659924","-0.618229","9000000000698","to2QFL5yuAi","Mbarara South Division","W7kX446X8Jn","Mbarara City","Ankole","Community Enumeration Point","PNFP","Private Authority","Functional","Reporting"
"699","a6CCCxArlVG","Mbarara South Division Field Survey Station 027","SG-MBARA-027","30.692789","-0.577666","9000000000699","to2QFL5yuAi","Mbarara South Division","W7kX446X8Jn","Mbarara City","Ankole","District Coordination Hub","GOV","UPDF","Functional","Reporting"
"700","uwXTH0M0m4p","Bubaare Subcounty Field Survey Station 001","SG-MBARA-001","30.522918","-0.565543","9000000000700","zzuqkx8GWNy","Bubaare Subcounty","auswb7JO9wY","Mbarara District","Ankole","Subcounty Field Station","GOV","Local Government","Functional","Reporting"
"701","OnV3pblY9FU","Bubaare Subcounty Field Survey Station 002","SG-MBARA-002","30.492456","-0.512618","9000000000701","zzuqkx8GWNy","Bubaare Subcounty","auswb7JO9wY","Mbarara District","Ankole","Community Enumeration Point","GOV","Local Government","Functional","Reporting"
"702","hUjYHzn0Rl0","Bubaare Subcounty Field Survey Station 003","SG-MBARA-003","","","9000000000702","zzuqkx8GWNy","Bubaare Subcounty","auswb7JO9wY","Mbarara District","Ankole","Community Enumeration Point","PFP","Private Authority","Functional","Reporting"
"703","Quv7nORX6r7","Bukiro Subcounty Field Survey Station 001","SG-MBARA-001","","","9000000000703","MCcHPIPGtCo","Bukiro Subcounty","auswb7JO9wY","Mbarara District","Ankole","Community Enumeration Point","PFP","Private Authority","Non-Functional","Non-Reporting"
"704","PBk9mkvmwVa","Bukiro Subcounty Field Survey Station 002","SG-MBARA-002","30.504144","-0.452859","9000000000704","MCcHPIPGtCo","Bukiro Subcounty","auswb7JO9wY","Mbarara District","Ankole","Community Enumeration Point","GOV","Local Government","Functional","Reporting"
"705","BF4V8LnfSsj","Bukiro Town Council Field Survey Station 001","SG-MBARA-001","30.516992","-0.404767","9000000000705","WD4CijUdJxw","Bukiro Town Council","auswb7JO9wY","Mbarara District","Ankole","Subcounty Field Station","GOV","Local Government","Functional","Reporting"
"706","SMkx58aUYtC","Bwizibwera-Rutooma Town Council Field Survey Station 001","SG-MBARA-001","30.573173","-0.433889","9000000000706","r6vK6iwzTSv","Bwizibwera-Rutooma Town Council","auswb7JO9wY","Mbarara District","Ankole","District Coordination Hub","GOV","Local Government","Functional","Reporting"
"707","lc9TtSQnPCv","Bwizibwera-Rutooma Town Council Field Survey Station 002","SG-MBARA-002","30.574611","-0.437344","9000000000707","r6vK6iwzTSv","Bwizibwera-Rutooma Town Council","auswb7JO9wY","Mbarara District","Ankole","Community Enumeration Point","PFP","Private Authority","Functional","Reporting"
"708","vXtbJakJHmF","Bwizibwera-Rutooma Town Council Field Survey Station 003","SG-MBARA-003","","","9000000000708","r6vK6iwzTSv","Bwizibwera-Rutooma Town Council","auswb7JO9wY","Mbarara District","Ankole","Community Enumeration Point","PFP","NGO","Functional","Reporting"
"709","qdNLBqYlqTn","Kagongi Subcounty Field Survey Station 001","SG-MBARA-001","30.597036","-0.255308","9000000000709","IzhBEvsBLuC","Kagongi Subcounty","auswb7JO9wY","Mbarara District","Ankole","Community Enumeration Point","GOV","Local Government","Functional","Reporting"
"710","XQCqKzjyAZg","Kagongi Subcounty Field Survey Station 002","SG-MBARA-002","30.559879","-0.272473","9000000000710","IzhBEvsBLuC","Kagongi Subcounty","auswb7JO9wY","Mbarara District","Ankole","Subcounty Field Station","GOV","Local Government","Functional","Reporting"
"711","g63Rmtc2Wu8","Kagongi Subcounty Field Survey Station 003","SG-MBARA-003","","","9000000000711","IzhBEvsBLuC","Kagongi Subcounty","auswb7JO9wY","Mbarara District","Ankole","Community Enumeration Point","PFP","Private Authority","Functional","Reporting"
"712","ahkQO7FQKKK","Kashare Subcounty Field Survey Station 001","SG-MBARA-001","30.626455","-0.368756","9000000000712","alAMOnr7I1C","Kashare Subcounty","auswb7JO9wY","Mbarara District","Ankole","Subcounty Field Station","GOV","Local Government","Functional","Reporting"
"713","bv4xDC78z8O","Kashare Subcounty Field Survey Station 002","SG-MBARA-002","30.661528","-0.359435","9000000000713","alAMOnr7I1C","Kashare Subcounty","auswb7JO9wY","Mbarara District","Ankole","Community Enumeration Point","PNFP","UMMB","Functional","Reporting"
"714","agv8x8otfmZ","Nyabisirira Town Council Field Survey Station 001","SG-MBARA-001","30.628093","-0.335465","9000000000714","NtGgOWLkxh2","Nyabisirira Town Council","auswb7JO9wY","Mbarara District","Ankole","Community Enumeration Point","GOV","Local Government","Functional","Reporting"
"715","UiR7DTzn09N","Rubaya Subcounty Field Survey Station 001","SG-MBARA-001","30.644252","-0.417626","9000000000715","iYyORXQ8Z6h","Rubaya Subcounty","auswb7JO9wY","Mbarara District","Ankole","Community Enumeration Point","GOV","Local Government","Functional","Reporting"
"716","nx0UdNxBNIS","Rubaya Subcounty Field Survey Station 002","SG-MBARA-002","30.673003","-0.46565","9000000000716","iYyORXQ8Z6h","Rubaya Subcounty","auswb7JO9wY","Mbarara District","Ankole","Subcounty Field Station","GOV","Local Government","Functional","Reporting"
"717","MDbjlGxazdQ","Rubaya Subcounty Field Survey Station 003","SG-MBARA-003","30.654708","-0.460818","9000000000717","iYyORXQ8Z6h","Rubaya Subcounty","auswb7JO9wY","Mbarara District","Ankole","Community Enumeration Point","PNFP","UCMB","Functional","Reporting"
"718","LaLIpBS7ZeK","Rubindi Subcounty Field Survey Station 001","SG-MBARA-001","30.544268","-0.382117","9000000000718","W9JVeFCwE5n","Rubindi Subcounty","auswb7JO9wY","Mbarara District","Ankole","Community Enumeration Point","GOV","Local Government","Functional","Reporting"
"719","TpHgruzLzyd","Rubindi-Ruhumba Town Council Field Survey Station 001","SG-MBARA-001","30.581081","-0.324046","9000000000719","xNKA2Q86Vw8","Rubindi-Ruhumba Town Council","auswb7JO9wY","Mbarara District","Ankole","Community Enumeration Point","PFP","Private Authority","Functional","Reporting"
"720","COHtAqML4yd","Rubindi-Ruhumba Town Council Field Survey Station 002","SG-MBARA-002","30.548444","-0.315542","9000000000720","xNKA2Q86Vw8","Rubindi-Ruhumba Town Council","auswb7JO9wY","Mbarara District","Ankole","Community Enumeration Point","GOV","Local Government","Functional","Reporting"
"721","kw2BNLtK1FZ","Rubindi-Ruhumba Town Council Field Survey Station 003","SG-MBARA-003","30.579697","-0.323526","9000000000721","xNKA2Q86Vw8","Rubindi-Ruhumba Town Council","auswb7JO9wY","Mbarara District","Ankole","Subcounty Field Station","GOV","Local Government","Functional","Reporting"
"722","hDnpFJsWuCL","Rubindi-Ruhumba Town Council Field Survey Station 004","SG-MBARA-004","30.582195","-0.322698","9000000000722","xNKA2Q86Vw8","Rubindi-Ruhumba Town Council","auswb7JO9wY","Mbarara District","Ankole","Community Enumeration Point","PFP","UCBHCA","Functional","Reporting"
"723","Xo9fgk0Rvg6","Rubindi-Ruhumba Town Council Field Survey Station 005","SG-MBARA-005","30.569741","-0.324087","9000000000723","xNKA2Q86Vw8","Rubindi-Ruhumba Town Council","auswb7JO9wY","Mbarara District","Ankole","Community Enumeration Point","PNFP","UCMB","Functional","Reporting"
"724","nRnQig5xiKQ","Rubindi-Ruhumba Town Council Field Survey Station 006","SG-MBARA-006","","","9000000000724","xNKA2Q86Vw8","Rubindi-Ruhumba Town Council","auswb7JO9wY","Mbarara District","Ankole","Community Enumeration Point","PFP","Private Authority","Functional","Reporting"
"725","lEayYKvmKD2","Rwanyamahembe Town Council Field Survey Station 001","SG-MBARA-001","30.572874","-0.436503","9000000000725","aLbdtQFDIfU","Rwanyamahembe Town Council","auswb7JO9wY","Mbarara District","Ankole","Community Enumeration Point","PFP","Private Authority","Functional","Reporting"
"726","gb75YCmtwwq","Rwanyamahembe Town Council Field Survey Station 002","SG-MBARA-002","30.573288","-0.438075","9000000000726","aLbdtQFDIfU","Rwanyamahembe Town Council","auswb7JO9wY","Mbarara District","Ankole","Community Enumeration Point","PFP","Private Authority","Functional","Reporting"
"727","TmbnvfCp80g","Rwanyamahembe Town Council Field Survey Station 003","SG-MBARA-003","30.547125","-0.474569","9000000000727","aLbdtQFDIfU","Rwanyamahembe Town Council","auswb7JO9wY","Mbarara District","Ankole","Community Enumeration Point","GOV","Local Government","Functional","Reporting"
"728","aumCjLAHfAL","Bitereko Subcounty Field Survey Station 001","SG-MITOO-001","29.970878","-0.565749","9000000000728","rKLL7VlbL3b","Bitereko Subcounty","FLygHiUd2UW","Mitooma District","Ankole","District Coordination Hub","GOV","Local Government","Functional","Reporting"
"729","RKTrEW3Vw7X","Kabira Town Council Field Survey Station 001","SG-MITOO-001","30.028312","-0.695215","9000000000729","i69lxuIgjw7","Kabira Town Council","FLygHiUd2UW","Mitooma District","Ankole","Subcounty Field Station","GOV","Local Government","Functional","Reporting"
"730","rh4BA8I3ikJ","Kanyabwanga Subcounty Field Survey Station 001","SG-MITOO-001","29.945157","-0.633028","9000000000730","DJRzqJrw6hs","Kanyabwanga Subcounty","FLygHiUd2UW","Mitooma District","Ankole","Community Enumeration Point","PFP","Private Authority","Functional","Reporting"
"731","N5mmOltRto8","Kanyabwanga Subcounty Field Survey Station 002","SG-MITOO-002","29.942354","-0.608769","9000000000731","DJRzqJrw6hs","Kanyabwanga Subcounty","FLygHiUd2UW","Mitooma District","Ankole","Subcounty Field Station","GOV","Local Government","Functional","Non-Reporting"
"732","jcX3kPVo5yB","Kashenshero Subcounty Field Survey Station 001","SG-MITOO-001","29.981138","-0.602505","9000000000732","ZA35ZIXly1S","Kashenshero Subcounty","FLygHiUd2UW","Mitooma District","Ankole","Subcounty Field Station","GOV","Local Government","Functional","Reporting"
"733","w9SnOvetHUQ","Kashenshero Town Council Field Survey Station 001","SG-MITOO-001","29.984842","-0.627518","9000000000733","YXmA2I9pEgy","Kashenshero Town Council","FLygHiUd2UW","Mitooma District","Ankole","Subcounty Field Station","PNFP","UCMB","Functional","Reporting"
"734","Lu7D9BapOxL","Kashenshero Town Council Field Survey Station 002","SG-MITOO-002","29.983645","-0.632621","9000000000734","YXmA2I9pEgy","Kashenshero Town Council","FLygHiUd2UW","Mitooma District","Ankole","Subcounty Field Station","GOV","Local Government","Functional","Reporting"
"735","AV79U3nbRID","Katenga Subcounty Field Survey Station 001","SG-MITOO-001","","","9000000000735","qJ0sxVsO2pk","Katenga Subcounty","FLygHiUd2UW","Mitooma District","Ankole","Community Enumeration Point","GOV","UPS","Functional","Reporting"
"736","m3jCfYlfUKY","Katenga Subcounty Field Survey Station 002","SG-MITOO-002","30.101895","-0.62695","9000000000736","qJ0sxVsO2pk","Katenga Subcounty","FLygHiUd2UW","Mitooma District","Ankole","Community Enumeration Point","PNFP","Private Authority","Non-Functional","Non-Reporting"
"737","CtNp9QdYPvu","Katenga Subcounty Field Survey Station 003","SG-MITOO-003","30.082435","-0.613386","9000000000737","qJ0sxVsO2pk","Katenga Subcounty","FLygHiUd2UW","Mitooma District","Ankole","Community Enumeration Point","PFP","Private Authority","Non-Functional","Non-Reporting"
"738","encOl1W2jrU","Kigyende Subcounty Field Survey Station 001","SG-MITOO-001","","","9000000000738","GUHUIINtAx0","Kigyende Subcounty","FLygHiUd2UW","Mitooma District","Ankole","Community Enumeration Point","PNFP","UPMB","Functional","Reporting"
"739","YpdpeBdi63s","Kigyende Subcounty Field Survey Station 002","SG-MITOO-002","29.922287","-0.597728","9000000000739","GUHUIINtAx0","Kigyende Subcounty","FLygHiUd2UW","Mitooma District","Ankole","Community Enumeration Point","GOV","Local Government","Functional","Reporting"
"740","HhUq7fj45cR","Kiyanga Subcounty Field Survey Station 001","SG-MITOO-001","29.946152","-0.540271","9000000000740","aKZZ42qXlZq","Kiyanga Subcounty","FLygHiUd2UW","Mitooma District","Ankole","Community Enumeration Point","GOV","Local Government","Functional","Reporting"
"741","whX68dEEy69","Kiyanga Subcounty Field Survey Station 002","SG-MITOO-002","29.960688","-0.517035","9000000000741","aKZZ42qXlZq","Kiyanga Subcounty","FLygHiUd2UW","Mitooma District","Ankole","Community Enumeration Point","PNFP","Private Authority","Non-Functional","Non-Reporting"
"742","N4EhCYDExuZ","Kiyanga Subcounty Field Survey Station 003","SG-MITOO-003","29.969108","-0.512634","9000000000742","aKZZ42qXlZq","Kiyanga Subcounty","FLygHiUd2UW","Mitooma District","Ankole","Community Enumeration Point","PNFP","UPMB","Functional","Reporting"
"743","amvcW2oHvfK","Mayanga Subcounty Field Survey Station 001","SG-MITOO-001","30.040027","-0.752659","9000000000743","RtQUimJT9Ek","Mayanga Subcounty","FLygHiUd2UW","Mitooma District","Ankole","Subcounty Field Station","GOV","Local Government","Functional","Reporting"
"744","tFR0RVesj3i","Mayanga Subcounty Field Survey Station 002","SG-MITOO-002","","","9000000000744","RtQUimJT9Ek","Mayanga Subcounty","FLygHiUd2UW","Mitooma District","Ankole","Community Enumeration Point","PFP","Private Authority","Non-Functional","Non-Reporting"
"745","aeSag6SBi5P","Mitooma Subcounty Field Survey Station 001","SG-MITOO-001","30.031954","-0.654724","9000000000745","aXyuXVfPhwz","Mitooma Subcounty","FLygHiUd2UW","Mitooma District","Ankole","Community Enumeration Point","PNFP","Private Authority","Non-Functional","Non-Reporting"
"746","KFix5BxgoTl","Mitooma Subcounty Field Survey Station 002","SG-MITOO-002","30.045002","-0.579957","9000000000746","aXyuXVfPhwz","Mitooma Subcounty","FLygHiUd2UW","Mitooma District","Ankole","Subcounty Field Station","GOV","Local Government","Functional","Reporting"
"747","wEsFPPA6BdQ","Mitooma Town Council Field Survey Station 001","SG-MITOO-001","30.044021","-0.613414","9000000000747","aPkiP7PQgCU","Mitooma Town Council","FLygHiUd2UW","Mitooma District","Ankole","Community Enumeration Point","PFP","Private Authority","Functional","Reporting"
"748","VNnrhdnpSHA","Mitooma Town Council Field Survey Station 002","SG-MITOO-002","30.047998","-0.615548","9000000000748","aPkiP7PQgCU","Mitooma Town Council","FLygHiUd2UW","Mitooma District","Ankole","Regional Operations Hub","GOV","Local Government","Functional","Reporting"
"749","lqjbb3z0AUf","Mutara Town Council Field Survey Station 001","SG-MITOO-001","30.091206","-0.663894","9000000000749","shxeFrDxEML","Mutara Town Council","FLygHiUd2UW","Mitooma District","Ankole","Community Enumeration Point","GOV","Local Government","Functional","Reporting"
"750","glMMXpdO8uT","Mutara Town Council Field Survey Station 002","SG-MITOO-002","30.071695","-0.672585","9000000000750","shxeFrDxEML","Mutara Town Council","FLygHiUd2UW","Mitooma District","Ankole","Community Enumeration Point","GOV","Local Government","Functional","Reporting"
"751","go8iYQcmIAE","Mutara Town Council Field Survey Station 003","SG-MITOO-003","30.097513","-0.687103","9000000000751","shxeFrDxEML","Mutara Town Council","FLygHiUd2UW","Mitooma District","Ankole","Subcounty Field Station","GOV","Local Government","Functional","Reporting"
"752","O5U6v9ddjoj","Nyakizinga Subcounty Field Survey Station 001","SG-MITOO-001","30.124249","-0.744074","9000000000752","dukM9ldzcID","Nyakizinga Subcounty","FLygHiUd2UW","Mitooma District","Ankole","Community Enumeration Point","PNFP","UPMB","Functional","Reporting"
"753","aAGEaiWfhhP","Rurehe Subcounty Field Survey Station 001","SG-MITOO-001","29.978307","-0.682808","9000000000753","PpJwAqyUEAw","Rurehe Subcounty","FLygHiUd2UW","Mitooma District","Ankole","Subcounty Field Station","GOV","Local Government","Functional","Reporting"
"754","N2x23V5DcNQ","Rutookye Town Council Field Survey Station 001","SG-MITOO-001","30.020512","-0.502359","9000000000754","zf57oXdRAdf","Rutookye Town Council","FLygHiUd2UW","Mitooma District","Ankole","Community Enumeration Point","PNFP","Private Authority","Non-Functional","Non-Reporting"
"755","Dk1SkAipwsf","Rutookye Town Council Field Survey Station 002","SG-MITOO-002","30.032673","-0.518196","9000000000755","zf57oXdRAdf","Rutookye Town Council","FLygHiUd2UW","Mitooma District","Ankole","Subcounty Field Station","PNFP","UCMB","Functional","Reporting"
"756","v8kDID3gFdg","Rutookye Town Council Field Survey Station 003","SG-MITOO-003","","","9000000000756","zf57oXdRAdf","Rutookye Town Council","FLygHiUd2UW","Mitooma District","Ankole","Subcounty Field Station","GOV","Local Government","Functional","Reporting"
"757","Mha9ftXo7u5","Rutookye Town Council Field Survey Station 004","SG-MITOO-004","30.018697","-0.521082","9000000000757","zf57oXdRAdf","Rutookye Town Council","FLygHiUd2UW","Mitooma District","Ankole","Subcounty Field Station","PNFP","Private Authority","Non-Functional","Non-Reporting"
"758","jA7tuThhDUU","Rwoburunga Subcounty Field Survey Station 001","SG-MITOO-001","29.993546","-0.477512","9000000000758","N30UllvitMg","Rwoburunga Subcounty","FLygHiUd2UW","Mitooma District","Ankole","Subcounty Field Station","GOV","Local Government","Functional","Reporting"
"759","YOMLeJZxwzz","Bwongyera Subcounty Field Survey Station 001","SG-NTUNG-001","","","9000000000759","q7s1d5LzgWc","Bwongyera Subcounty","hAoe9dhZh9V","Ntungamo District","Ankole","Community Enumeration Point","PNFP","Private Authority","Non-Functional","Non-Reporting"
"760","hasFbIo0djq","Bwongyera Subcounty Field Survey Station 002","SG-NTUNG-002","30.102565","-0.786534","9000000000760","q7s1d5LzgWc","Bwongyera Subcounty","hAoe9dhZh9V","Ntungamo District","Ankole","Community Enumeration Point","PFP","Private Authority","Functional","Reporting"
"761","YKW2twSLRHF","Bwongyera Subcounty Field Survey Station 003","SG-NTUNG-003","30.089178","-0.7915","9000000000761","q7s1d5LzgWc","Bwongyera Subcounty","hAoe9dhZh9V","Ntungamo District","Ankole","Subcounty Field Station","GOV","Local Government","Functional","Reporting"
"762","mQjzjx2Vi2y","Central Division Field Survey Station 001","SG-NTUNG-001","30.261346","-0.875171","9000000000762","xR3tMZhXRSG","Central Division","hAoe9dhZh9V","Ntungamo District","Ankole","Community Enumeration Point","PFP","Private Authority","Functional","Reporting"
"763","urrPQsumgl7","Central Division Field Survey Station 002","SG-NTUNG-002","30.262846","-0.88719","9000000000763","xR3tMZhXRSG","Central Division","hAoe9dhZh9V","Ntungamo District","Ankole","Community Enumeration Point","PFP","Private Authority","Functional","Reporting"
"764","NImJbGuvUS6","Central Division Field Survey Station 003","SG-NTUNG-003","30.262796","-0.877049","9000000000764","xR3tMZhXRSG","Central Division","hAoe9dhZh9V","Ntungamo District","Ankole","District Coordination Hub","GOV","Local Government","Functional","Reporting"
"765","Vr4JZWtsFr4","Central Division Field Survey Station 004","SG-NTUNG-004","30.264369","-0.877376","9000000000765","xR3tMZhXRSG","Central Division","hAoe9dhZh9V","Ntungamo District","Ankole","Community Enumeration Point","GOV","UPF","Functional","Reporting"
"766","YasMLjFTmRD","Central Division Field Survey Station 005","SG-NTUNG-005","","","9000000000766","xR3tMZhXRSG","Central Division","hAoe9dhZh9V","Ntungamo District","Ankole","Community Enumeration Point","PFP","Private Authority","Functional","Reporting"
"767","rZUQEvxthk4","Central Division Field Survey Station 006","SG-NTUNG-006","30.265735","-0.875723","9000000000767","xR3tMZhXRSG","Central Division","hAoe9dhZh9V","Ntungamo District","Ankole","Community Enumeration Point","PFP","Private Authority","Functional","Reporting"
"768","tBJsV2sxt1k","Eastern Division Field Survey Station 001","SG-NTUNG-001","30.268547","-0.872897","9000000000768","eJ6V2fUvJa3","Eastern Division","hAoe9dhZh9V","Ntungamo District","Ankole","Community Enumeration Point","PFP","Private Authority","Non-Functional","Non-Reporting"
"769","IkVvGrqJfm0","Eastern Division Field Survey Station 002","SG-NTUNG-002","30.293876","-0.85765","9000000000769","eJ6V2fUvJa3","Eastern Division","hAoe9dhZh9V","Ntungamo District","Ankole","Subcounty Field Station","GOV","Local Government","Functional","Reporting"
"770","A9XqEsqGtzC","Eastern Division Field Survey Station 003","SG-NTUNG-003","","","9000000000770","eJ6V2fUvJa3","Eastern Division","hAoe9dhZh9V","Ntungamo District","Ankole","Subcounty Field Station","PFP","UPMB","Functional","Reporting"
"771","U2iprp1G39M","Ihunga Subcounty Field Survey Station 001","SG-NTUNG-001","30.160222","-0.790593","9000000000771","weIcTd1431E","Ihunga Subcounty","hAoe9dhZh9V","Ntungamo District","Ankole","Subcounty Field Station","GOV","Local Government","Functional","Reporting"
"772","QL6CPNbpOcH","Ihunga Subcounty Field Survey Station 002","SG-NTUNG-002","30.210534","-0.790167","9000000000772","weIcTd1431E","Ihunga Subcounty","hAoe9dhZh9V","Ntungamo District","Ankole","Community Enumeration Point","GOV","Local Government","Functional","Reporting"
"773","a7lnM83DJGy","Itojo Subcounty Field Survey Station 001","SG-NTUNG-001","30.277088","-0.787247","9000000000773","oUbjAL1F0oh","Itojo Subcounty","hAoe9dhZh9V","Ntungamo District","Ankole","Regional Operations Hub","GOV","Local Government","Functional","Reporting"
"774","f7n93to8Ktw","Itojo Subcounty Field Survey Station 002","SG-NTUNG-002","30.262998","-0.803836","9000000000774","oUbjAL1F0oh","Itojo Subcounty","hAoe9dhZh9V","Ntungamo District","Ankole","Community Enumeration Point","PFP","Private Authority","Functional","Reporting"
"775","P3xQ9rXeVdo","Kafunjo-Mirama Town Council Field Survey Station 001","SG-NTUNG-001","30.429198","-1.016437","9000000000775","BWPwdJUUaAD","Kafunjo-Mirama Town Council","hAoe9dhZh9V","Ntungamo District","Ankole","Subcounty Field Station","GOV","Local Government","Functional","Reporting"
"776","mLhpQbt5EEY","Kafunjo-Mirama Town Council Field Survey Station 002","SG-NTUNG-002","","","9000000000776","BWPwdJUUaAD","Kafunjo-Mirama Town Council","hAoe9dhZh9V","Ntungamo District","Ankole","Community Enumeration Point","GOV","Local Government","Functional","Reporting"
"777","uDSFrOfKQmE","Kagarama Town Council Field Survey Station 001","SG-NTUNG-001","30.178089","-0.83224","9000000000777","YQkoHUcrtEM","Kagarama Town Council","hAoe9dhZh9V","Ntungamo District","Ankole","Subcounty Field Station","GOV","Local Government","Functional","Reporting"
"778","ND2A0GOnnnY","Kagarama Town Council Field Survey Station 002","SG-NTUNG-002","30.158507","-0.819457","9000000000778","YQkoHUcrtEM","Kagarama Town Council","hAoe9dhZh9V","Ntungamo District","Ankole","Subcounty Field Station","PNFP","UCMB","Functional","Reporting"
"779","QfWjCf5pKFh","Kakukuru-Rwenanura Town Council Field Survey Station 001","SG-NTUNG-001","30.28191","-0.987454","9000000000779","aRW3DafiIxD","Kakukuru-Rwenanura Town Council","hAoe9dhZh9V","Ntungamo District","Ankole","Subcounty Field Station","GOV","Local Government","Functional","Reporting"
"780","H9Kdh2eKGyz","Kayonza Subcounty Field Survey Station 001","SG-NTUNG-001","30.123893","-1.123079","9000000000780","ZXKYB8MLZ0N","Kayonza Subcounty","hAoe9dhZh9V","Ntungamo District","Ankole","Subcounty Field Station","GOV","Local Government","Functional","Reporting"
"781","y1S7Kh163t9","Kayonza Subcounty Field Survey Station 002","SG-NTUNG-002","30.109906","-1.113144","9000000000781","ZXKYB8MLZ0N","Kayonza Subcounty","hAoe9dhZh9V","Ntungamo District","Ankole","District Coordination Hub","PNFP","UCMB","Functional","Reporting"
"782","sO5sVDlQBUW","Kibatsi Subcounty Field Survey Station 001","SG-NTUNG-001","30.189374","-0.782491","9000000000782","e9lITPTVy5H","Kibatsi Subcounty","hAoe9dhZh9V","Ntungamo District","Ankole","Community Enumeration Point","GOV","Local Government","Functional","Reporting"
"783","oBioSOuF497","Kibatsi Subcounty Field Survey Station 002","SG-NTUNG-002","30.128318","-0.785495","9000000000783","e9lITPTVy5H","Kibatsi Subcounty","hAoe9dhZh9V","Ntungamo District","Ankole","Subcounty Field Station","GOV","Local Government","Functional","Reporting"
"784","FGnMVMPBCLN","Kitwe Town Council Field Survey Station 001","SG-NTUNG-001","30.465547","-0.983609","9000000000784","ivwE1lJW3oK","Kitwe Town Council","hAoe9dhZh9V","Ntungamo District","Ankole","District Coordination Hub","GOV","Local Government","Functional","Reporting"
"785","KJ7aFxkGCAs","Ngoma Subcounty Field Survey Station 001","SG-NTUNG-001","30.276033","-1.087701","9000000000785","ezgM4Z4aWIc","Ngoma Subcounty","hAoe9dhZh9V","Ntungamo District","Ankole","Community Enumeration Point","GOV","Local Government","Functional","Reporting"
"786","QYBM6A0o4pT","Ngoma Subcounty Field Survey Station 002","SG-NTUNG-002","30.21639","-1.155977","9000000000786","ezgM4Z4aWIc","Ngoma Subcounty","hAoe9dhZh9V","Ntungamo District","Ankole","Subcounty Field Station","GOV","Local Government","Functional","Reporting"
"787","a9vGVj3Ftt9","Ntungamo Subcounty Field Survey Station 001","SG-NTUNG-001","30.243257","-0.80731","9000000000787","K8EbLIWv4gn","Ntungamo Subcounty","hAoe9dhZh9V","Ntungamo District","Ankole","Subcounty Field Station","GOV","Local Government","Functional","Reporting"
"788","kjrZmlTqV89","Ntungamo Subcounty Field Survey Station 002","SG-NTUNG-002","30.22799","-0.848628","9000000000788","K8EbLIWv4gn","Ntungamo Subcounty","hAoe9dhZh9V","Ntungamo District","Ankole","Community Enumeration Point","GOV","Local Government","Functional","Reporting"
"789","U01vJnjDz0V","Ntungamo Subcounty Field Survey Station 003","SG-NTUNG-003","","","9000000000789","K8EbLIWv4gn","Ntungamo Subcounty","hAoe9dhZh9V","Ntungamo District","Ankole","Subcounty Field Station","GOV","UPDF","Functional","Reporting"
"790","JlWZ3wAo04I","Nyabihoko Subcounty Field Survey Station 001","SG-NTUNG-001","30.113257","-0.872996","9000000000790","IlCTmTQDK1j","Nyabihoko Subcounty","hAoe9dhZh9V","Ntungamo District","Ankole","Subcounty Field Station","GOV","Local Government","Functional","Reporting"
"791","rSpQGF4E4vj","Nyabushenyi Subcounty Field Survey Station 001","SG-NTUNG-001","30.189747","-0.894493","9000000000791","VUNuIUcflYo","Nyabushenyi Subcounty","hAoe9dhZh9V","Ntungamo District","Ankole","Community Enumeration Point","GOV","Local Government","Functional","Reporting"
"792","tYPKoJnvJPx","Nyakyera Subcounty Field Survey Station 001","SG-NTUNG-001","30.338177","-0.844297","9000000000792","aT8hmwXQ07D","Nyakyera Subcounty","hAoe9dhZh9V","Ntungamo District","Ankole","Community Enumeration Point","GOV","Local Government","Functional","Reporting"
"793","XbW1Rkf92iM","Nyakyera Subcounty Field Survey Station 002","SG-NTUNG-002","30.411554","-0.905458","9000000000793","aT8hmwXQ07D","Nyakyera Subcounty","hAoe9dhZh9V","Ntungamo District","Ankole","Community Enumeration Point","PFP","Private Authority","Non-Functional","Non-Reporting"
"794","UEKVlvKXJAC","Nyakyera Town Council Field Survey Station 001","SG-NTUNG-001","30.40406","-0.901657","9000000000794","B7tG9VFceYl","Nyakyera Town Council","hAoe9dhZh9V","Ntungamo District","Ankole","Community Enumeration Point","PFP","Private Authority","Functional","Reporting"
"795","rk5itnVaCHU","Nyakyera Town Council Field Survey Station 002","SG-NTUNG-002","30.393646","-0.853272","9000000000795","B7tG9VFceYl","Nyakyera Town Council","hAoe9dhZh9V","Ntungamo District","Ankole","Community Enumeration Point","GOV","Local Government","Functional","Reporting"
"796","vQMNtz05zAJ","Nyakyera Town Council Field Survey Station 003","SG-NTUNG-003","30.407802","-0.904898","9000000000796","B7tG9VFceYl","Nyakyera Town Council","hAoe9dhZh9V","Ntungamo District","Ankole","Subcounty Field Station","GOV","Local Government","Functional","Reporting"
